referencia,valor,modo_venda,duzias
1990-01,0.000095924,atacado,30
1990-02,0.00019278,atacado,30
1990-03,0.0004722,atacado,30
1990-04,0.00047778,atacado,30
1990-05,0.00047621,atacado,30
1990-06,0.001,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.002,atacado,30
1991-04,0.002,atacado,30
1991-05,0.002,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.002,atacado,30
1991-09,0.003,atacado,30
1991-10,0.003,atacado,30
1991-11,0.004,atacado,30
1991-12,0.006,atacado,30
1992-01,0.006,atacado,30
1992-02,0.01,atacado,30
1992-03,0.013,atacado,30
1992-04,0.013,atacado,30
1992-05,0.016,atacado,30
1992-06,0.017,atacado,30
1992-07,0.021,atacado,30
1992-08,0.026,atacado,30
1992-09,0.031,atacado,30
1992-10,0.038,atacado,30
1992-11,0.049,atacado,30
1992-12,0.065,atacado,30
1993-01,0.08,atacado,30
1993-02,0.126,atacado,30
1993-03,0.167,atacado,30
1993-04,0.189,atacado,30
1993-05,0.246,atacado,30
1993-06,0.337,atacado,30
1993-07,0.427,atacado,30
1993-08,0.563,atacado,30
1993-09,0.745,atacado,30
1993-10,0.78,atacado,30
1993-11,0.938,atacado,30
1993-12,1.484,atacado,30
1994-01,2.257,atacado,30
1994-02,3.075,atacado,30
1994-03,4.507,atacado,30
1994-04,6.247,atacado,30
1994-05,7.687,atacado,30
1994-06,12.758,atacado,30
1994-07,17.24,atacado,30
1994-08,17.84,atacado,30
1994-09,16.6,atacado,30
1994-10,16.03,atacado,30
1994-11,16.14,atacado,30
1994-12,16.93,atacado,30
1995-01,16.29,atacado,30
1995-02,17.13,atacado,30
1995-03,17.32,atacado,30
1995-04,16.81,atacado,30
1995-05,16.31,atacado,30
1995-06,16.25,atacado,30
1995-07,15.7,atacado,30
1995-08,15.63,atacado,30
1995-09,15.24,atacado,30
1995-10,15.04,atacado,30
1995-11,14.76,atacado,30
1995-12,15.07,atacado,30
1996-01,15.11,atacado,30
1996-02,16.48,atacado,30
1996-03,17.63,atacado,30
1996-04,18.31,atacado,30
1996-05,18.65,atacado,30
1996-06,19.86,atacado,30
1996-07,21.57,atacado,30
1996-08,23.84,atacado,30
1996-09,23.11,atacado,30
1996-10,22.35,atacado,30
1996-11,21.81,atacado,30
1996-12,21.59,atacado,30
1997-01,20.89,atacado,30
1997-02,21.86,atacado,30
1997-03,23.48,atacado,30
1997-04,23.03,atacado,30
1997-05,21.9,atacado,30
1997-06,23.66,atacado,30
1997-07,23.79,atacado,30
1997-08,23.31,atacado,30
1997-09,21.51,atacado,30
1997-10,21.18,atacado,30
1997-11,19.79,atacado,30
1997-12,20.54,atacado,30
1998-01,19.18,atacado,30
1998-02,18.81,atacado,30
1998-03,21.82,atacado,30
1998-04,23.25,atacado,30
1998-05,22.76,atacado,30
1998-06,23.26,atacado,30
1998-07,22.47,atacado,30
1998-08,20.67,atacado,30
1998-09,19.52,atacado,30
1998-10,19.08,atacado,30
1998-11,18.85,atacado,30
1998-12,18.22,atacado,30
1999-01,17.76,atacado,30
1999-02,18.62,atacado,30
1999-03,20.74,atacado,30
1999-04,19.43,atacado,30
1999-05,19.38,atacado,30
1999-06,21.86,atacado,30
1999-07,20.77,atacado,30
1999-08,20.35,atacado,30
1999-09,19.78,atacado,30
1999-10,19.26,atacado,30
1999-11,21.2,atacado,30
1999-12,22.87,atacado,30
2000-01,21.47,atacado,30
2000-02,23.12,atacado,30
2000-03,23.78,atacado,30
2000-04,23.94,atacado,30
2000-05,22.46,atacado,30
2000-06,23.47,atacado,30
2000-07,23.31,atacado,30
2000-08,25.06,atacado,30
2000-09,24.47,atacado,30
2000-10,24.1,atacado,30
2000-11,23.31,atacado,30
2000-12,23.73,atacado,30
2001-01,22.22,atacado,30
2001-02,23.25,atacado,30
2001-03,25.83,atacado,30
2001-04,27.38,atacado,30
2001-05,25.19,atacado,30
2001-06,26.33,atacado,30
2001-07,28.58,atacado,30
2001-08,27.65,atacado,30
2001-09,23.19,atacado,30
2001-10,22.01,atacado,30
2001-11,20.54,atacado,30
2001-12,21.97,atacado,30
2002-01,21.84,atacado,30
2002-02,25.25,atacado,30
2002-03,27.31,atacado,30
2002-04,23.17,atacado,30
2002-05,23.95,atacado,30
2002-06,27.25,atacado,30
2002-07,28.8,atacado,30
2002-08,27.23,atacado,30
2002-09,26.19,atacado,30
2002-10,30.34,atacado,30
2002-11,36.44,atacado,30
2002-12,40.89,atacado,30
2003-01,39.16,atacado,30
2003-02,43.43,atacado,30
2003-03,45.29,atacado,30
2003-04,47.05,atacado,30
2003-05,45.59,atacado,30
2003-06,45.52,atacado,30
2003-07,44.96,atacado,30
2003-08,44.78,atacado,30
2003-09,43.79,atacado,30
2003-10,39.83,atacado,30
2003-11,36.106,atacado,30
2003-12,36.859,atacado,30
2004-01,35.188,atacado,30
2004-02,41.139,atacado,30
2004-03,44.053,atacado,30
2004-04,40.576,atacado,30
2004-05,39.096,atacado,30
2004-06,41.598,atacado,30
2004-07,39.974,atacado,30
2004-08,40.816,atacado,30
2004-09,36.374,atacado,30
2004-10,33.223,atacado,30
2004-11,34.254,atacado,30
2004-12,35.025,atacado,30
2005-01,33.173,atacado,30
2005-02,38.896,atacado,30
2005-03,44.398,atacado,30
2005-04,40.529,atacado,30
2005-05,40.501,atacado,30
2005-06,41.701,atacado,30
2005-07,39.05,atacado,30
2005-08,36.249,atacado,30
2005-09,32.972,atacado,30
2005-10,34.715,atacado,30
2005-11,33.894,atacado,30
2005-12,32.423,atacado,30
2006-01,28.336,atacado,30
2006-02,29.868,atacado,30
2006-03,30.057,atacado,30
2006-04,30.423,atacado,30
2006-05,30.102,atacado,30
2006-06,30.852,atacado,30
2006-07,29.856,atacado,30
2006-08,29.14,atacado,30
2006-09,29.465,atacado,30
2006-10,31.644,atacado,30
2006-11,31.469,atacado,30
2006-12,36.06,atacado,30
2007-01,33.1,atacado,30
2007-02,39.738,atacado,30
2007-03,42.644,atacado,30
2007-04,42.312,atacado,30
2007-05,39.695,atacado,30
2007-06,42.152,atacado,30
2007-07,43.289,atacado,30
2007-08,42.954,atacado,30
2007-09,40.449,atacado,30
2007-10,38.699,atacado,30
2007-11,38.128,atacado,30
2007-12,42.966,atacado,30
2008-01,41.918,atacado,30
2008-02,50.496,atacado,30
2008-03,54.5,atacado,30
2008-04,45.191,atacado,30
2008-05,45.436,atacado,30
2008-06,46.412,atacado,30
2008-07,49.131,atacado,30
2008-08,49.668,atacado,30
2008-09,49.351,atacado,30
2008-10,44.266,atacado,30
2008-11,41.842,atacado,30
2008-12,42.202,atacado,30
2009-01,40.401,atacado,30
2009-02,44.573,atacado,30
2009-03,49.069,atacado,30
2009-04,48.96,atacado,30
2009-05,46.512,atacado,30
2009-06,48.563,atacado,30
2009-07,45.805,atacado,30
2009-08,44.051,atacado,30
2009-09,42.652,atacado,30
2009-10,40.137,atacado,30
2009-11,39.701,atacado,30
2009-12,41.085,atacado,30
2010-01,38.9,atacado,30
2010-02,43.8,atacado,30
2010-03,45.96,atacado,30
2010-04,44.1,atacado,30
2010-05,44.69,atacado,30
2010-06,47.5,atacado,30
2010-07,45.61,atacado,30
2010-08,45.8,atacado,30
2010-09,40.44,atacado,30
2010-10,39.82,atacado,30
2010-11,39.99,atacado,30
2010-12,40.74,atacado,30
2011-01,38.48,atacado,30
2011-02,41.4,atacado,30
2011-03,47.72,atacado,30
2011-04,52.37,atacado,30
2011-05,48.92,atacado,30
2011-06,50.2,atacado,30
2011-07,51.6,atacado,30
2011-08,51.95,atacado,30
2011-09,51.31,atacado,30
2011-10,49.86,atacado,30
2011-11,48.71,atacado,30
2011-12,47.39,atacado,30
2012-01,47.05,atacado,30
2012-02,48.41,atacado,30
2012-03,51.27,atacado,30
2012-04,50.07,atacado,30
2012-05,49.982,atacado,30
2012-06,54.913,atacado,30
2012-07,57.347,atacado,30
2012-08,58.112,atacado,30
2012-09,57.14,atacado,30
2012-10,56.12,atacado,30
2012-11,60.007,atacado,30
2012-12,62.993,atacado,30
2013-01,60.697,atacado,30
2013-02,70.719,atacado,30
2013-03,75.232,atacado,30
2013-04,76.093,atacado,30
2013-05,73.478,atacado,30
2013-06,73.027,atacado,30
2013-07,73.643,atacado,30
2013-08,73.372,atacado,30
2013-09,72.327,atacado,30
2013-10,66.169,atacado,30
2013-11,61.091,atacado,30
2013-12,61.73,atacado,30
2014-01,56.769,atacado,30
2014-02,63.744,atacado,30
2014-03,75.34,atacado,30
2014-04,81.055,atacado,30
2014-05,73.763,atacado,30
2014-06,69.67,atacado,30
2014-07,68.047,atacado,30
2014-08,66.936,atacado,30
2014-09,57.14,atacado,30
2014-10,57.074,atacado,30
2014-11,54.983,atacado,30
2014-12,55.678,atacado,30
2015-01,58.434,atacado,30
2015-02,75.122,atacado,30
2015-03,79.858,atacado,30
2015-04,70.978,atacado,30
2015-05,69.11,atacado,30
2015-06,70.444,atacado,30
2015-07,69.449,atacado,30
2015-08,68.919,atacado,30
2015-09,64.846,atacado,30
2015-10,68.681,atacado,30
2015-11,73.103,atacado,30
2015-12,74.321,atacado,30
2016-01,71.36,atacado,30
2016-02,83.142,atacado,30
2016-03,88.709,atacado,30
2016-04,81.071,atacado,30
2016-05,78.864,atacado,30
2016-06,89.544,atacado,30
2016-07,95.273,atacado,30
2016-08,94.622,atacado,30
2016-09,86.087,atacado,30
2016-10,79.977,atacado,30
2016-11,79.043,atacado,30
2016-12,84.974,atacado,30
2017-01,75.468,atacado,30
2017-02,88.574,atacado,30
2017-03,96.17,atacado,30
2017-04,98.471,atacado,30
2017-05,93.401,atacado,30
2017-06,94.908,atacado,30
2017-07,93.067,atacado,30
2017-08,90.281,atacado,30
2017-09,84.989,atacado,30
2017-10,80.765,atacado,30
2017-11,76.669,atacado,30
2017-12,77.373,atacado,30
2018-01,68.344,atacado,30
2018-02,81.861,atacado,30
2018-03,89.965,atacado,30
2018-04,83.442,atacado,30
2018-05,75.355,atacado,30
2018-06,90.77,atacado,30
2018-07,81.111,atacado,30
2018-08,76.018,atacado,30
2018-09,72.645,atacado,30
2018-10,67.283,atacado,30
2018-11,70.787,atacado,30
2018-12,72,atacado,30
2019-01,65.208,atacado,30
2019-02,86.735,atacado,30
2019-03,86.43,atacado,30
2019-04,90.35,atacado,30
2019-05,81.004,atacado,30
2019-06,82.2,atacado,30
2019-07,80.8,atacado,30
2019-08,84.975,atacado,30
2019-09,85.652,atacado,30
2019-10,86.358,atacado,30
2019-11,84.049,atacado,30
2019-12,93.898,atacado,30
2020-01,88.362,atacado,30
2020-02,104.68,atacado,30
2020-03,111.071,atacado,30
2020-04,119.157,atacado,30
2020-05,109.889,atacado,30
2020-06,103.418,atacado,30
2020-07,94.653,atacado,30
2020-08,92.6,atacado,30
2020-09,92.121,atacado,30
2020-10,99.825,atacado,30
2020-11,105.357,atacado,30
2020-12,111.995,atacado,30
2021-01,106.369,atacado,30
2021-02,126.429,atacado,30
2021-03,132.498,atacado,30
2021-04,132.38,atacado,30
2021-05,129.563,atacado,30
2021-06,131.219,atacado,30
2021-07,133.315,atacado,30
2021-08,143.829,atacado,30
2021-09,143.196,atacado,30
2021-10,140.146,atacado,30
2021-11,131.391,atacado,30
2021-12,131.614,atacado,30
2022-01,119.293,atacado,30
2022-02,142.283,atacado,30
2022-03,156.951,atacado,30
2022-04,165.576,atacado,30
2022-05,164.091,atacado,30
2022-06,163.3,atacado,30
2022-07,162.121,atacado,30
2022-08,166.782,atacado,30
2022-09,168.827,atacado,30
2022-10,169.409,atacado,30
2022-11,168.695,atacado,30
2022-12,163.464,atacado,30
2023-01,157.449,atacado,30
2023-02,178.666,atacado,30
2023-03,200.294,atacado,30
2023-04,205.843,atacado,30
2023-05,217.219,atacado,30
2023-06,213.849,atacado,30
2023-07,203.531,atacado,30
2023-08,188.151,atacado,30
